temp_exterior,hora,estacion,perfil_usuario,comando_voz,ocupacion,humedad,viento,calidad_aire,distancia_hogar,en_casa
0.9618908878093442,0.9255078016294318,3,0,2,0,0.1671628844497049,-0.7458254079581222,-1.2061840655731573,1.0022229353584697,0
-0.8945581161176472,-0.8080045556766977,0,1,0,1,0.06032238651067351,-0.04164216332936035,-1.717045546576481,-1.083794692007306,0
-0.3947498226896306,0.49212971230289937,1,2,0,0,-0.8447764426797243,-1.114718965035878,-0.4148302763488019,1.0193795864898731,0
-1.0019318442923573,1.3588858909559642,1,0,2,1,1.0893401471040818,-1.7167355727745501,-0.40465300397098075,-1.9460789765890636,0
-1.2650266070159426,-0.5190858294590095,2,1,2,0,1.7000279682436357,0.5972885341051699,0.5235216376742968,0.1964425221381222,0
1.71706317734106,-1.5303013712209184,2,0,0,1,-0.3146421613897133,0.10111512842064052,1.6942667681012158,-0.3693059471532758,0
-0.8067937516456786,0.20321098608521113,1,2,0,0,-0.8396282965733058,-0.23469108805785516,-0.6812751689354462,0.15479708358718772,0
-1.2283435809458578,0.6365890754117435,2,1,2,0,0.7548321042823045,1.6691133743519901,1.3023734762407633,-0.4805961338611901,0
1.2281259960343014,1.5033452540648082,2,2,0,0,1.4456228382868654,-1.7015564964060128,-0.5559999237177262,0.0027383110007517916,0
1.4327971624859983,0.7810484385205877,1,2,2,1,-1.679577150439274,0.28874226240327444,0.7349460667297727,1.577946635002272,0
0.8277003364625307,-0.5190858294590095,2,2,1,0,0.09632739622656167,-0.8489513304786445,-0.4381278892641829,-1.3699264041690051,0
-1.5763546486780313,-1.5303013712209184,3,1,2,1,-0.9284910097292255,0.7385376001648436,1.0652194154628887,0.32755601774578924,0
-0.8769613001053289,-0.3746264663501654,1,1,3,1,-0.809012138732993,-0.439300193628337,-0.6829315825585927,1.0983044109658167,0
0.4478005425288412,-1.2413826450032301,2,2,3,0,-0.1758575665438797,1.0370803794234649,-0.30006970544498607,0.8207835865500764,0
1.581658321581555,-0.9524639187855419,2,1,2,0,-0.9406173718393939,-0.06749780780188447,-1.5545518143034711,0.519057977983344,0
-0.12010749269681449,1.3588858909559642,3,1,1,1,-0.5989226927372283,1.0562675272876056,0.3769937230224101,0.5515198379822331,0
-0.14783808937706971,0.49212971230289937,2,1,1,1,-1.2031615687479138,1.1394112491531374,1.0707701420780014,-0.247163613977371,0
0.42153880403103494,-1.3858420081120744,2,0,1,1,-1.6842141647222564,0.7369022521219833,-1.591257770224639,-0.4373116431379711,0
0.05705824993531006,1.6478046171736525,2,0,3,0,0.4413758210510265,0.6445293037693004,0.17929241900503265,2.1452904059194235,0
-1.1252136724011654,0.6365890754117435,1,2,1,0,-1.2333097733543321,1.693796259155597,-0.12930934308135536,-0.31035807636836354,0
0.19012240784524723,0.05875162297636701,1,2,1,1,1.3213927980907347,1.1458503193678078,-0.3861220525881336,-0.4749729756092765,0
